Country,id,Score,Rank,regional average index score,AU regsubregion,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
Lesotho,LS,50.90714142,32,55.94273324,Southern,21.04847515,49.47447207,35.82368771,51.35107586,68.61529955,58.12277459,37.36428553,57.62455439,22.28824028,0.1725435257,50.65313653,95.45653175,66.16200796,55.79083723,62.13053496,49.93475519,83.4081919
Liberia,LR,48.03062153,40,52.6123559,West,33.03389792,40.2706941,44.55628087,14.21641755,44.53830217,48.01092624,32.67824575,54.60915011,9.382224191,79.12213863,21.7352083,83.01903167,99.31417146,60.36413369,55.31640478,53.93204171,42.42129686
Libya,LY,0,0,0,North,,,,,,,,,,,,,,,,,
Madagascar,MG,45.56608514,44,45.70234889,Central,2.691845636,25.07746953,38.18465168,40.11920278,64.90236149,38.73031788,30.77461468,65.13504318,9.418245336,27.39338519,46.83727825,80.49572993,96.87441021,46.68099086,49.12294173,51.89472305,60.29023592
Malawi,MW,52.31998799,25,55.94273324,Southern,29.35246961,45.55562553,49.99358908,26.56160071,58.48449856,56.48698963,37.58126638,61.12668438,14.64074185,22.11661429,47.96188556,96.60761992,89.34963535,55.79083723,74.70244667,57.0839172,66.04337384
Mali,ML,51.74918991,27,52.6123559,West,38.4656958,47.57834436,34.44851824,10.90881413,35.00051474,56.00527587,39.49589395,65.1902553,20.90788114,75.10425537,44.29777957,83.7744436,99.24271629,44.27088423,76.46410128,53.57592189,55.00493278
Mauritania,MR,51.28942268,31,62.26497401,North,69.11355653,41.68451334,43.84988838,28.28699314,37.41860595,54.30147093,44.60566853,35.82936678,21.50222937,82.1450989,27.92781843,82.27016724,73.21576798,50.90847862,65.84729243,44.76518086,68.24808806
Mauritius,MU,66.18892327,1,55.94273324,Southern,84.83925028,75.06765355,73.84293556,82.93343452,49.94758886,57.03992787,67.44817587,79.84618347,44.17009654,50.51863388,90.79529114,65.53423762,67.95380929,55.27771556,23.49740564,78.7692249,77.7301311
Morocco,MA,64.36765881,4,62.26497401,North,83.9930608,59.12035572,73.97199192,66.32538527,49.74798365,66.13472779,51.73066003,56.83932812,43.44796275,47.92381525,72.5586633,75.62218393,92.37396767,45.39728842,74.31894887,72.75596832,61.98790786
Mozambique,MZ,51.41743824,30,55.94273324,Southern,20.41877043,33.69045121,37.80585218,35.61730422,59.92533661,41.109769,45.77053405,65.50787043,19.53160532,24.60056694,51.15688951,91.11203978,92.15421994,59.55745029,64.78406393,52.13927797,79.21444825
Namibia,NA,57.08935318,13,55.94273324,Southern,61.40386398,39.15271096,51.17756485,72.27747248,81.33060291,58.99768172,38.28805185,60.70417637,37.72043928,0,57.58919237,77.43209138,61.12282606,55.37576775,85.5738748,68.35515761,64.01752973
Niger,NE,50.33098133,33,52.6123559,West,35.76140365,35.77976966,41.80802165,7.968457792,39.1418672,40.41273085,38.59475025,66.17855513,9.830426352,75.8786458,41.9264295,86.54531381,95.12758247,44.27088423,80.85649798,58.97790913,56.56743707
Nigeria,NG,47.06686241,43,52.6123559,West,30.32273976,36.84877678,30.45337107,37.2179557,38.06218369,53.52165391,61.30027196,50.31019299,20.94450683,14.84062356,24.48109285,84.12276896,96.13788914,40.36565811,82.07306722,50.10246044,49.03144802
Rwanda,RW,57.90109543,12,48.83643856,East,44.42206836,40.49598165,65.0732645,50.97790606,87.41203041,56.18715878,44.08177844,74.96442875,27.25629922,13.65550034,43.93552452,96.08376939,98.6486429,38.61819752,71.11039227,69.98727313,61.4084061
Sao Tome and Principe,ST,61.84152325,7,55.94273324,Southern,41.89093412,61.99246742,57.77900163,72.78554223,55.68664801,66.61013022,40.00388486,58.33961083,26.95604247,87.53961268,56.01429797,95.46165832,89.61783019,64.87962589,57.39296882,70.90537544,47.45026415
Senegal,SN,56.95710444,14,52.6123559,West,37.6478513,51.12697101,52.87451824,30.61794934,54.22698405,57.80875093,50.73484631,60.73394012,27.71980545,45.32241408,43.78772233,95.05580894,94.75370457,42.85810484,74.87147958,67.78663137,80.34329302
Seychelles,SC,0,0,0,East,,,,,,,,,,,,,,,,,
Sierra Leone,SL,49.74743297,35,52.6123559,West,38.15213959,41.67833438,31.46467795,42.79150294,37.19944463,38.899084,41.36617579,56.49530066,9.108620793,70.32610289,35.01097789,88.3666403,98.38096669,48.82482154,63.92217889,53.15509546,50.56429608
Somalia,SO,40.12194394,49,48.83643856,East,27.51697441,36.05188083,26.75559683,37.27350743,23.49571972,27.71065887,30.80464391,21.80980045,0.2649114863,39.46758729,48.55776218,98.64464893,90.84898582,41.03724412,58.17583333,24.44777713,49.20951431
South Africa,ZA,60.43280225,10,55.94273324,Southern,61.0963315,56.36576155,51.05331859,76.42715606,84.78737271,66.98794336,64.42638605,58.15049476,49.61438928,0,58.45088973,56.19247456,87.03299514,56.28233491,63.88985691,59.98829215,76.61164102
South Sudan,SS,29.19499854,52,48.83643856,East,1.1223553,17.88815848,24.65011989,7.645259939,43.39914411,39.35732217,26.18527042,43.46540869,2.906027539,21.97114162,14.41622623,32.24823529,72.36925269,38.61819752,71.10778908,25.0150991,13.94996705
Sudan,SD,47.40021216,42,48.83643856,East,44.40820541,15.45480023,48.71020046,26.28887192,30.75373639,32.99439678,58.48932303,39.22185683,22.42933319,65.93846576,31.0053197,77.36314376,98.73826934,55.02180244,75.58498718,41.42480029,41.97609399
Swaziland,SZ,52.35532124,24,55.94273324,Southern,42.50579355,51.35001497,47.60086143,55.48976745,67.41564152,56.08200555,60.49453799,43.10034372,22.58165041,0,62.00966126,90.88064953,52.69920092,55.79083723,63.34540689,51.46091652,67.23317208
Tanzania,TZ,55.9476556,16,48.83643856,East,44.04643988,39.90739524,51.68371254,44.81184864,66.29581138,46.47224771,54.05705659,71.79216669,21.68639129,55.69931332,49.72354502,88.78201166,98.21587007,52.55082488,62.62003638,56.53732051,46.2281534
Togo,TG,52.68739407,23,52.6123559,West,23.93045904,45.09895255,45.01077316,52.58101964,49.47154374,46.75180921,44.6341289,72.33161588,22.54270554,29.7712727,29.20692987,95.62682824,98.61646802,28.79954918,86.32479617,51.04729563,73.93955171
Tunisia,TN,66.12495406,2,62.26497401,North,70.35564859,58.62158968,73.85735988,75.12273066,59.32784849,61.41973483,52.67215277,55.25555106,42.17847879,62.47626036,71.89886761,74.80341605,90.70478604,56.64479491,71.09950937,78.07520011,69.61028979
Uganda,UG,54.88165132,18,48.83643856,East,71.94154353,39.49247724,51.64593731,50.20097999,63.4015214,41.08449786,49.507503,63.45754826,18.69014413,47.87771863,34.84356007,84.58379939,98.64271417,38.61819752,68.77204125,53.96262266,56.26526612
Zambia,ZM,53.04927164,22,55.94273324,Southern,20.02047782,46.8764302,53.40872012,59.60247851,60.31014254,52.57305512,55.0368156,66.15933404,23.87875328,8.309859155,47.55689313,79.10811795,98.36119368,55.79083723,73.86200217,47.03270023,53.94980707
Zimbabwe,ZW,54.81411717,19,55.94273324,Southern,21.0306825,35.84776134,49.42671572,65.65918965,65.76575277,52.41899342,51.56119679,64.09811702,13.61862395,37.04297771,60.45161475,80.18027107,96.35150956,55.79083723,77.34651612,43.58021996,61.66901237
